No.,Name,Primary Pos,College,Primary Crew (start of season),NFL Experience (including year),Year
36,Anthony Jeffries,FJ,Alabama-Birmingham,Morelli,1,2018
117,John Jenkins,FJ,St. Mary's,Kemp,5,2018
101,Carl Johnson,LJ,Nicholls State,Wrolstad,15,2018
67,Tony Josselyn,BJ,Eastern Kentucky,Torbert,1,2018
55,Alex Kemp,R,Central Michigan,Kemp,5,2018
121,Paul King,U,Nicholls State,Wrolstad,10,2018
21,Jeff Lamberth,FJ,Texas A&M,Wrolstad,17,2018
73,Joe Larrew,FJ,St. Louis,Blakeman,17,2018
2,Bart Longson,LJ,Brigham Young,Smith,4,2018
10,Julian Mapp,LJ,Grambling State,Parry,10,2018
19,Clay Martin,R,Oklahoma Baptist,Martin,4,2018
39,Rich Martinez,BJ,Canisius,Hochuli,5,2018
8,Dana McKenzie,DJ,Toledo,Blakeman,11,2018
110,Phil McKinnely,DJ,UCLA,Vinovich,17,2018
48,Jim Mello,DJ,Northeastern,Allen,15,2018
118,David Meslow,FJ,Augsburg,Martin,8,2018
78,Greg Meyer,BJ,Texas Christian,Cheffers,17,2018
115,Tony Michalek,U,Indiana,Hussey,17,2018
111,Terrence Miles,BJ,Arizona State,Allen,11,2018
120,Jonah Monroe,SJ,Arkansas,Boger,4,2018
135,Pete Morelli,R,St. Mary's,Morelli,22,2018
92,Bryan Neale,U,Indiana,Smith,5,2018
1,Scott Novak,SJ,Phoenix,Allen,5,2018
24,David Oliver,DJ,Baker,Parry,2,2018
124,Carl Paganelli,U,Michigan State,Anderson,20,2018
105,Dino Paganelli,BJ,Aquinas,Smith,13,2018
46,Perry Paganelli,BJ,Hope,Parry,21,2018
132,John Parry,R,Purdue,Parry,19,2018
17,Steve Patrick,BJ,Jacksonville State,Vinovich,5,2018
15,Rick Patterson,SJ,Wofford,Anderson,23,2018
79,Kent Payne,LJ,Nebraska Wesleyan,Martin,15,2018
131,Mark Pellis,U,Allegheny,Parry,5,2018
9,Mark Perlman,LJ,Salem,Vinovich,18,2018
6,Jerod Phillips,DJ,Northeastern State,Wrolstad,3,2018
47,Tim Podraza,LJ,Nebraska,Corrente,11,2018
109,Dyrol Prioleau,SJ,Johnson C. Smith,Blakeman,12,2018
30,Todd Prukop,BJ,Cal State-Fullerton,Corrente,10,2018
5,Jim Quirk,BJ,Middlebury,Blakeman,9,2018
44,Jeff Rice,U,Northwestern,Coleman,24,2018
31,Mearl Robinson,FJ,Air Force,Vinovich,2,2018
126,Brad Rogers,FJ,Lubbock Christian,Smith,2,2018
50,Aaron Santi,FJ,Southern Oregon,Kemp,4,2018
129,Bill Schuster,U,Alfred,Boger,19,2018
45,Jeff Seeman,LJ,Minnesota,Morelli,17,2018
104,Dale Shaw,FJ,Allegheny,Boger,6,2018
113,Danny Short,DJ,North Carolina-Charlotte,Martin,2,2018
14,Shawn Smith,R,Ferris State,Smith,4,2018
90,Mike Spanier,LJ,St. Cloud State,Swing,20,2018
12,Greg Steed,BJ,Howard,Hussey,16,2018
84,Mark Steinkerchner,LJ,Akron,Torbert,25,2018
22,Steve Stelljes,DJ,Friends,Morelli,17,2018
68,Tom Stephan,DJ,Pittsburg State,Anderson,20,2018
112,Tony Steratore,BJ,"California, Pa.",Boger,19,2018
75,Mark Stewart,LJ,Pittsburg State,Coleman,1,2018
102,Bruce Stritesky,U,Embry Riddle,Vinovich,13,2018
100,Tom Symonette,DJ,Florida,Kemp,15,2018
53,Sarah Thomas,DJ,Mobile,Torbert,4,2018
62,Ron Torbert,R,Michigan State,Torbert,9,2018
13,Patrick Turner,DJ,Cal State-Long Beach,Corrente,5,2018
52,Bill Vinovich,R,San Diego,Vinovich,14,2018
26,Jabir Walker,SJ,Murray State,Coleman,4,2018
7,Keith Washington,FJ,Virginia Military Institute,Corrente,11,2018
116,Mike Weatherford,FJ,Oklahoma State,Swing,17,2018
58,Don Willard,FJ,Illinois State,Hussey,1,2018
119,Greg Wilson,BJ,USC,Martin,11,2018
54,Steve Woods,U,Wabash,Morelli,2,2018
4,Craig Wrolstad,R,Washington,Wrolstad,16,2018
38,Greg Yette,BJ,Howard,Coleman,9,2018
33,Steve Zimmer,FJ,Hofstra,Allen,22,2018
122,Brad Allen,R,Pembroke State,Allen,4,2017
20,Barry Anderson,U,North Carolina State,Wrolstad,11,2017
66,Walt Anderson,R,Texas,Anderson,22,2017
108,Gary Arthur,LJ,Wright State,Steratore,21,2017
72,Michael Banks,FJ,Illinois State,McAulay,16,2017
56,Allen Baynes,SJ,Auburn,Hussey,10,2017
59,Rusty Baynes,LJ,Auburn-Montgomery,Hochuli,8,2017
32,Jeff Bergman,DJ,Robert Morris,Triplette,26,2017
91,Jerry Bergman,DJ,Robert Morris,McAulay,16,2017
34,Clete Blakeman,R,Nebraska,Blakeman,10,2017
23,Jerome Boger,R,Morehouse,Boger,14,2017
40,Brian Bolinger,LJ,Indiana State,Allen,1,2017
18,Byron Boston,LJ,Austin,Anderson,23,2017
74,Derick Bowers,DJ,East Central,Coleman,15,2017
98,Greg Bradley,DJ,Tennessee,Hochuli,9,2017
43,Terry Brown,SJ,Tennessee,Triplette,12,2017
11,Fred Bryan,U,Northern Iowa,Allen,9,2017
86,Jimmy Buchanan,FJ,South Carolina State,Hussey,9,2017
134,Ed Camp,DJ,William Paterson,Boger,18,2017
63,Mike Carr,LJ,Wisconsin,Boger,1,2017
60,Gary Cavaletto,SJ,Hancock,Vinovich,15,2017
41,Boris Cheek,SJ,Morgan State,Morelli,22,2017
51,Carl Cheffers,R,California-Irvine,Cheffers,18,2017
16,Kevin Codey,LJ,Western New England,Coleman,3,2017
95,James Coleman,SJ,Arkansas,Coleman,13,2017
65,Walt Coleman,R,Arkansas,Coleman,29,2017
87,Walt Coleman IV,SJ,Southern Methodist,Boger,3,2017
99,Tony Corrente,R,Cal State-Fullerton,Corrente,23,2017
94,Hugo Cruz,DJ,Texas-Pan American,Blakeman,3,2017
25,Ryan Dickson,SJ,Utah,Corrente,1,2017
27,Lee Dyer,BJ,Tennessee-Chattanooga,Wrolstad,15,2017
76,Alan Eck,U,Bloomsburg,Corrente,2,2017
3,Scott Edwards,SJ,Alabama,Torbert,19,2017
81,Roy Ellison,U,Savannah State,Steratore,15,2017
61,Keith Ferguson,BJ,San Jose State,Hussey,18,2017
64,Dan Ferrell,U,Cal State-Fullerton,Swing,15,2017
71,Ruben Fowler,U,Huston-Tillotson,Triplette,12,2017
88,Brad Freeman,SJ,Mississippi State,Cheffers,4,2017
133,Steve Freeman,BJ,Mississippi State,Triplette,17,2017
80,Greg Gautreaux,FJ,S.W. Louisiana,Triplette,16,2017
128,Ramon George,U,Lenoir-Rhyne,Blakeman,2,2017
103,Eugene Hall,FJ,North Texas,Boger,4,2017
49,Rich Hall,U,Arizona,Boger,14,2017
125,Laird Hayes,SJ,Princeton,Anderson,23,2017
93,Scott Helverson,BJ,Iowa,Hochuli,15,2017
29,Adrian Hill,SJ,Buffalo,Steratore,8,2017
97,Tom Hill,FJ,Carson Newman,Allen,19,2017
28,Mark Hittner,DJ,Pittsburg State,Wrolstad,21,2017
85,Ed Hochuli,R,Texas-El Paso,Hochuli,28,2017
83,Shawn Hochuli,BJ,Claremont,Allen,4,2017
82,Buddy Horton,FJ,Oregon State,Corrente,19,2017
37,Jim Howey,DJ/LJ,Erskine,Swing,19,2017
35,John Hussey,R,Idaho State,Hussey,16,2017
117,John Jenkins,FJ,St. Mary's,Anderson,4,2017
